sample,Control_115,Control_130,Control_132,Control_133,Control_136,Control_53,Control_61,Control_62,Control_64,Control_68,Control_69,Control_70,Control_71,Control_72,Control_73,CKD_105,CKD_106,CKD_108,CKD_110,CKD_112,CKD_124,CKD_125,CKD_126,CKD_128,CKD_129,CKD_63,CKD_65,CKD_96,CKD_98,CKD_99
class,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD
232.988/3.1,477697.0295,1088819.375,405321.7301,2156480.585,1013835.411,1927945.646,4009917.237,669533.261,326694.0874,827144.1677,3037155.271,1037926.867,2885227.521,491170.7627,1595310.265,513031.3014,353704.9533,168001.4212,558820.9393,131744.5136,2116526.492,302173.8554,193159.748,262403.4251,296369.37,387620.2386,136002.9239,35407.82964,10000,383375.4702
146.081/3.6,6474337.135,14413937.89,10789455.59,24230151.23,5573014.987,47914996.35,33336544.09,21200405.37,5573142.403,20081311.65,22839486.33,10432724.58,15867002.68,9365346.473,14291641.51,14395165.61,61605276.71,35034984.69,30768514.15,17465065.58,27850600.3,17587082.41,41821239.99,41394664.86,60082151.65,23088377.43,27899645.43,35080857.6,66441534.68,20090754.18
300.09/13.7,265785.3287,135019.301,36099.91985,307762.5017,89432.58069,450474.0138,627237.8084,280653.0775,89503.29535,520873.2064,176181.7857,72597.36074,163978.8919,139490.6158,131142.2199,188046.6369,1487074.606,437503.0735,648445.5596,1035518.218,432610.9862,249317.0842,565928.5548,263353.6196,1486771.308,734773.8181,18864.60555,672571.7474,1647188.329,658891.637
226.056/3.1,244903.3842,3000463.466,4772341.401,3763721.557,3037600.551,1227915.576,4006679.372,891673.2092,2960485.387,1617367.573,2602828.465,1941423.168,3198838.601,1868999.481,2364850.119,224593.541,551903.4468,414064.1146,367132.9004,736703.6988,6130642.506,640240.2466,296707.0165,956310.6532,454585.2234,662886.37,479477.7254,407707.9401,590295.8642,787639.9808
417.206/9.4,303095.7358,6509.476813,6359.83146,260164.4026,370828.4281,98061.7482,45036.50326,136006.0831,48180.08698,10000,21915.81604,199115.7841,46635.64002,10000,19281.57213,911788.3217,496853.2222,3141168.343,608443.2729,7339263.219,1139116.259,2188057.107,11789605.23,2941275.809,5889312.763,278692.538,295638.1102,3160625.964,809195.9304,8251036.107
177.087/2.8,696508.5259,1359726.687,734416.6895,780383.1485,539074.5359,1388751.721,1608539.326,2076186.555,426952.0872,820760.9158,1080847.482,927089.9729,738417.2963,534224.2201,1885060.877,2500852.784,1994504.972,2555060.726,1578982.312,2888919.329,894809.3584,1626371.608,2644087.577,1528819.114,2195954.246,1342634.835,777789.664,1448628.865,4396731.307,853850.6969
365.233/16.8,719756.402,4075927.705,3212791.768,4151160.819,1212799.779,4324540.312,7900296.171,3518505.277,2522618.388,2509495.714,5167212.916,1286554.72,1771822.669,1539979.339,3469685.033,1330826.71,338441.1369,860331.4698,1250583.227,1334215.555,4783972.3,118701.6141,1314309.274,203574.1843,1026719.406,568564.847,167703.2936,1989214.641,3412470.516,1162331.147
360.139/10.3,15926.60334,79207.02716,262320.0492,293964.1511,222770.5223,1330195.469,68285.20028,24819.26127,70808.19542,10000,10000,858777.8432,286568.4936,65287.89684,4909.536872,86255.23426,63279.72557,2598192.115,1393430.369,475171.8366,1102854.476,18296.02302,1479433.571,719757.572,2125167.301,1333505.668,10000,570484.2905,1400492.919,1095232.671
222.08/3.5,409950.9568,2575852.345,1198513.706,1727528.341,941769.8328,9429694.23,4776066.259,3658003.295,1348328.845,3520821.656,5043829.933,1401429.604,2285588.873,1237041.047,2173443.894,1954341.541,8416469.36,6424919.216,7795740.599,2425090.546,7903532.336,2092123.77,7480484.567,7486806.673,4271728.954,4533156.345,3513712.626,9396729.465,11443205.67,2305678.041
215.016/3.1,656027.3505,41318183.1,14815912.8,54332156.63,25626572.16,13192272.32,59999073.92,32297352.45,17791926.42,10171010.54,82026244.84,7318619.461,39644916.33,26695477.91,10602545.82,1103545.473,10513556.32,5027272.336,996989.7559,2325355.652,35382516.36,2473096.051,7650588.935,13952945.18,13402479.64,14528358.68,10523816.25,1037738.416,295964.3729,12368702.73
